Distritos;Indicadores de renta media y mediana;Periodo;Total
Gràcia;Renta bruta media por hogar;2021;54.982
Gràcia;Renta bruta media por hogar;2020;52.773
Gràcia;Renta bruta media por hogar;2019;53.099
Gràcia;Renta bruta media por hogar;2018;50.566
Gràcia;Renta bruta media por hogar;2017;48.421
Gràcia;Renta bruta media por hogar;2016;47.233
Gràcia;Renta bruta media por hogar;2015;46.480
Horta-Guinardó;Renta neta media por persona;2022;16.302
Horta-Guinardó;Renta neta media por persona;2021;15.633
Horta-Guinardó;Renta neta media por persona;2020;15.055
Horta-Guinardó;Renta neta media por persona;2019;14.990
Horta-Guinardó;Renta neta media por persona;2018;14.479
Horta-Guinardó;Renta neta media por persona;2017;13.998
Horta-Guinardó;Renta neta media por persona;2016;13.746
Horta-Guinardó;Renta neta media por persona;2015;13.436
Horta-Guinardó;Renta neta media por hogar;2022;38.592
Horta-Guinardó;Renta neta media por hogar;2021;36.839
Horta-Guinardó;Renta neta media por hogar;2020;35.695
Horta-Guinardó;Renta neta media por hogar;2019;35.748
Horta-Guinardó;Renta neta media por hogar;2018;34.430
Horta-Guinardó;Renta neta media por hogar;2017;33.163
Horta-Guinardó;Renta neta media por hogar;2016;32.777
Horta-Guinardó;Renta neta media por hogar;2015;32.221
Horta-Guinardó;Media de la renta por unidad de consumo;2022;23.714
Horta-Guinardó;Media de la renta por unidad de consumo;2021;22.743
Horta-Guinardó;Media de la renta por unidad de consumo;2020;21.922
Horta-Guinardó;Media de la renta por unidad de consumo;2019;21.917
Horta-Guinardó;Media de la renta por unidad de consumo;2018;21.185
Horta-Guinardó;Media de la renta por unidad de consumo;2017;20.504
Horta-Guinardó;Media de la renta por unidad de consumo;2016;20.133
Horta-Guinardó;Media de la renta por unidad de consumo;2015;19.690
Horta-Guinardó;Mediana de la renta por unidad de consumo;2022;21.350
Horta-Guinardó;Mediana de la renta por unidad de consumo;2021;19.950
Horta-Guinardó;Mediana de la renta por unidad de consumo;2020;19.250
Horta-Guinardó;Mediana de la renta por unidad de consumo;2019;19.250
Horta-Guinardó;Mediana de la renta por unidad de consumo;2018;18.550
Horta-Guinardó;Mediana de la renta por unidad de consumo;2017;17.850
Horta-Guinardó;Mediana de la renta por unidad de consumo;2016;17.850
Horta-Guinardó;Mediana de la renta por unidad de consumo;2015;17.150
Horta-Guinardó;Renta bruta media por persona;2022;20.298
Horta-Guinardó;Renta bruta media por persona;2021;19.313
Horta-Guinardó;Renta bruta media por persona;2020;18.414
Horta-Guinardó;Renta bruta media por persona;2019;18.345
Horta-Guinardó;Renta bruta media por persona;2018;17.659
Horta-Guinardó;Renta bruta media por persona;2017;17.050
Horta-Guinardó;Renta bruta media por persona;2016;16.646
Horta-Guinardó;Renta bruta media por persona;2015;16.209
Horta-Guinardó;Renta bruta media por hogar;2022;48.050
Horta-Guinardó;Renta bruta media por hogar;2021;45.512
Horta-Guinardó;Renta bruta media por hogar;2020;43.659
Horta-Guinardó;Renta bruta media por hogar;2019;43.750
Horta-Guinardó;Renta bruta media por hogar;2018;41.990
Horta-Guinardó;Renta bruta media por hogar;2017;40.393
Horta-Guinardó;Renta bruta media por hogar;2016;39.692
Horta-Guinardó;Renta bruta media por hogar;2015;38.872
Nou Barris;Renta neta media por persona;2022;13.284
Nou Barris;Renta neta media por persona;2021;12.758
Nou Barris;Renta neta media por persona;2020;12.241
Nou Barris;Renta neta media por persona;2019;12.193
Nou Barris;Renta neta media por persona;2018;11.757
Nou Barris;Renta neta media por persona;2017;11.374
Nou Barris;Renta neta media por persona;2016;11.217
Nou Barris;Renta neta media por persona;2015;11.018
Nou Barris;Renta neta media por hogar;2022;32.739
Nou Barris;Renta neta media por hogar;2021;31.169
Nou Barris;Renta neta media por hogar;2020;30.212
Nou Barris;Renta neta media por hogar;2019;30.385
Nou Barris;Renta neta media por hogar;2018;29.223
Nou Barris;Renta neta media por hogar;2017;28.034
Nou Barris;Renta neta media por hogar;2016;27.772
Nou Barris;Renta neta media por hogar;2015;27.351
Nou Barris;Media de la renta por unidad de consumo;2022;19.315
Nou Barris;Media de la renta por unidad de consumo;2021;18.590
Nou Barris;Media de la renta por unidad de consumo;2020;17.819
Nou Barris;Media de la renta por unidad de consumo;2019;17.841
Nou Barris;Media de la renta por unidad de consumo;2018;17.225
Nou Barris;Media de la renta por unidad de consumo;2017;16.623
Nou Barris;Media de la renta por unidad de consumo;2016;16.394
Nou Barris;Media de la renta por unidad de consumo;2015;16.108
Nou Barris;Mediana de la renta por unidad de consumo;2022;17.850
Nou Barris;Mediana de la renta por unidad de consumo;2021;17.150
Nou Barris;Mediana de la renta por unidad de consumo;2020;16.450
Nou Barris;Mediana de la renta por unidad de consumo;2019;16.450
Nou Barris;Mediana de la renta por unidad de consumo;2018;15.750
Nou Barris;Mediana de la renta por unidad de consumo;2017;15.050
Nou Barris;Mediana de la renta por unidad de consumo;2016;15.050
Nou Barris;Mediana de la renta por unidad de consumo;2015;14.350
Nou Barris;Renta bruta media por persona;2022;15.842
Nou Barris;Renta bruta media por persona;2021;15.145
Nou Barris;Renta bruta media por persona;2020;14.401
Nou Barris;Renta bruta media por persona;2019;14.354
Nou Barris;Renta bruta media por persona;2018;13.812
Nou Barris;Renta bruta media por persona;2017;13.331
Nou Barris;Renta bruta media por persona;2016;13.077
Nou Barris;Renta bruta media por persona;2015;12.816
Nou Barris;Renta bruta media por hogar;2022;39.042
Nou Barris;Renta bruta media por hogar;2021;37.001
Nou Barris;Renta bruta media por hogar;2020;35.543
Nou Barris;Renta bruta media por hogar;2019;35.770
Nou Barris;Renta bruta media por hogar;2018;34.330
Nou Barris;Renta bruta media por hogar;2017;32.857
Nou Barris;Renta bruta media por hogar;2016;32.377
Nou Barris;Renta bruta media por hogar;2015;31.813
Sant Andreu;Renta neta media por persona;2022;16.169
Sant Andreu;Renta neta media por persona;2021;15.564
Sant Andreu;Renta neta media por persona;2020;14.920
Sant Andreu;Renta neta media por persona;2019;14.812
Sant Andreu;Renta neta media por persona;2018;14.318
Sant Andreu;Renta neta media por persona;2017;13.798
Sant Andreu;Renta neta media por persona;2016;13.551
Sant Andreu;Renta neta media por persona;2015;13.212
Sant Andreu;Renta neta media por hogar;2022;39.274
Sant Andreu;Renta neta media por hogar;2021;37.669
Sant Andreu;Renta neta media por hogar;2020;36.519
Sant Andreu;Renta neta media por hogar;2019;36.484
